Date,Electricity_Price_EUR_per_MWh
2016-12-13,49.08
2016-12-14,60.14
2016-12-15,49.81
2016-12-16,53.39
2016-12-17,46.53
2016-12-18,43.86
2016-12-19,57.31
2016-12-20,48.59
2016-12-21,40.16
2016-12-22,45.01
2016-12-23,37.39
2016-12-24,7.27
2016-12-25,-1.94
2016-12-26,-12.79
2016-12-27,5.93
2016-12-28,42.16
2016-12-29,46.18
2016-12-30,42.0
2016-12-31,35.65
2017-01-01,29.78
2017-01-02,46.47
2017-01-03,37.49
2017-01-04,28.2
2017-01-05,50.16
2017-01-06,49.39
2017-01-07,38.4
2017-01-08,42.9
2017-01-09,55.6
2017-01-10,54.88
2017-01-11,34.8
2017-01-12,35.14
2017-01-13,39.57
2017-01-14,33.29
2017-01-15,36.3
2017-01-16,80.31
2017-01-17,85.06
2017-01-18,69.75
2017-01-19,67.13
2017-01-20,62.92
2017-01-21,47.96
2017-01-22,41.38
2017-01-23,76.38
2017-01-24,101.82
2017-01-25,85.56
2017-01-26,48.6
2017-01-27,43.98
2017-01-28,42.24
2017-01-29,37.67
2017-01-30,51.78
2017-01-31,69.68
2017-02-01,50.72
2017-02-02,45.23
2017-02-03,48.05
2017-02-04,45.25
2017-02-05,43.83
2017-02-06,61.73
2017-02-07,53.1
2017-02-08,60.23
2017-02-09,57.45
2017-02-10,44.96
2017-02-11,38.23
2017-02-12,33.02
2017-02-13,42.48
2017-02-14,43.19
2017-02-15,47.15
2017-02-16,40.59
2017-02-17,43.13
2017-02-18,40.01
2017-02-19,28.41
2017-02-20,30.44
2017-02-21,33.11
2017-02-22,22.91
2017-02-23,26.16
2017-02-24,29.68
2017-02-25,28.83
2017-02-26,14.16
2017-02-27,28.36
2017-02-28,30.64
2017-03-01,35.58
2017-03-02,27.24
2017-03-03,38.46
2017-03-04,33.41
2017-03-05,18.26
2017-03-06,38.83
2017-03-07,44.63
2017-03-08,36.28
2017-03-09,37.81
2017-03-10,34.07
2017-03-11,32.73
2017-03-12,18.73
2017-03-13,36.42
2017-03-14,34.25
2017-03-15,34.0
2017-03-16,34.07
2017-03-17,28.07
2017-03-18,19.88
2017-03-19,13.32
2017-03-20,29.4
2017-03-21,30.96
2017-03-22,35.46
2017-03-23,34.15
2017-03-24,34.44
2017-03-25,28.19
2017-03-26,27.96
2017-03-27,34.97
2017-03-28,34.4
2017-03-29,31.31
2017-03-30,33.41
2017-03-31,31.79
2017-04-01,30.6
2017-04-02,29.8
2017-04-03,37.51
2017-04-04,38.56
2017-04-05,31.13
2017-04-06,31.06
2017-04-07,34.54
2017-04-08,34.48
2017-04-09,27.56
2017-04-10,27.34
2017-04-11,33.6
2017-04-12,27.0
2017-04-13,30.25
2017-04-14,30.58
2017-04-15,12.4
2017-04-16,20.27
2017-04-17,25.52
2017-04-18,34.41
2017-04-19,37.22
2017-04-20,36.74
2017-04-21,25.79
2017-04-22,12.65
2017-04-23,12.78
2017-04-24,31.46
2017-04-25,36.05
2017-04-26,40.0
2017-04-27,36.74
2017-04-28,36.85
2017-04-29,29.95
2017-04-30,-11.21
2017-05-01,-21.05
2017-05-02,30.14
2017-05-03,34.37
2017-05-04,32.98
2017-05-05,38.53
2017-05-06,32.17
2017-05-07,27.98
2017-05-08,33.84
2017-05-09,39.83
2017-05-10,38.77
2017-05-11,33.58
2017-05-12,35.88
2017-05-13,31.76
2017-05-14,28.18
2017-05-15,36.42
2017-05-16,34.22
2017-05-17,32.23
2017-05-18,33.08
2017-05-19,34.04
2017-05-20,26.2
2017-05-21,19.44
2017-05-22,36.33
2017-05-23,32.94
2017-05-24,32.79
2017-05-25,27.4
2017-05-26,33.08
2017-05-27,25.76
2017-05-28,21.22
2017-05-29,37.37
2017-05-30,36.36
2017-05-31,33.05
2017-06-01,36.28
2017-06-02,36.49
2017-06-03,30.34
2017-06-04,22.63
2017-06-05,27.53
2017-06-06,20.53
2017-06-07,13.51
2017-06-08,30.11
2017-06-09,33.82
2017-06-10,30.52
2017-06-11,20.56
2017-06-12,25.08
2017-06-13,33.02
2017-06-14,37.53
2017-06-15,31.71
2017-06-16,19.46
2017-06-17,25.78
2017-06-18,28.67
2017-06-19,38.09
2017-06-20,35.54
2017-06-21,39.8
2017-06-22,34.67
2017-06-23,30.3
2017-06-24,21.91
2017-06-25,19.14
2017-06-26,32.91
2017-06-27,38.64
2017-06-28,35.57
2017-06-29,37.88
2017-06-30,32.11
2017-07-01,27.87
2017-07-02,24.26
2017-07-03,32.75
2017-07-04,35.31
2017-07-05,38.74
2017-07-06,39.4
2017-07-07,37.55
2017-07-08,34.05
2017-07-09,33.11
2017-07-10,39.99
2017-07-11,36.63
2017-07-12,34.14
2017-07-13,34.55
2017-07-14,36.77
2017-07-15,32.46
2017-07-16,30.29
2017-07-17,37.59
2017-07-18,37.47
2017-07-19,35.97
2017-07-20,37.1
2017-07-21,36.13
2017-07-22,33.24
2017-07-23,29.33
2017-07-24,38.7
2017-07-25,33.77
2017-07-26,32.98
2017-07-27,34.05
2017-07-28,30.87
2017-07-29,20.31
2017-07-30,5.59
2017-07-31,32.21
2017-08-01,34.56
2017-08-02,33.06
2017-08-03,27.79
2017-08-04,24.64
2017-08-05,27.84
2017-08-06,20.07
2017-08-07,33.09
2017-08-08,31.03
2017-08-09,30.67
2017-08-10,35.47
2017-08-11,37.38
2017-08-12,20.95
2017-08-13,21.14
2017-08-14,32.74
2017-08-15,27.04
2017-08-16,35.94
2017-08-17,33.44
2017-08-18,33.13
2017-08-19,13.75
2017-08-20,9.16
2017-08-21,30.58
2017-08-22,37.18
2017-08-23,36.47
2017-08-24,35.87
2017-08-25,37.94
2017-08-26,34.32
2017-08-27,30.35
2017-08-28,38.52
2017-08-29,37.71
