Date,Electricity_Price_EUR_per_MWh
2016-09-15,37.51
2016-09-16,36.24
2016-09-17,28.05
2016-09-18,25.91
2016-09-19,36.64
2016-09-20,39.33
2016-09-21,37.59
2016-09-22,41.44
2016-09-23,38.69
2016-09-24,35.28
2016-09-25,32.66
2016-09-26,37.16
2016-09-27,44.87
2016-09-28,31.21
2016-09-29,29.12
2016-09-30,37.07
2016-10-01,36.23
2016-10-02,32.41
2016-10-03,45.59
2016-10-04,31.55
2016-10-05,32.15
2016-10-06,25.8
2016-10-07,54.36
2016-10-08,44.34
2016-10-09,36.77
2016-10-10,75.47
2016-10-11,30.5
2016-10-12,38.54
2016-10-13,40.67
2016-10-14,35.3
2016-10-15,30.44
2016-10-16,29.76
2016-10-17,37.72
2016-10-18,39.57
2016-10-19,40.7
2016-10-20,41.19
2016-10-21,38.71
2016-10-22,35.09
2016-10-23,34.39
2016-10-24,38.62
2016-10-25,35.16
2016-10-26,43.95
2016-10-27,37.97
2016-10-28,32.97
2016-10-29,28.36
2016-10-30,30.15
2016-10-31,40.65
2016-11-01,23.3
2016-11-02,32.58
2016-11-03,38.69
2016-11-04,40.15
2016-11-05,37.37
2016-11-06,35.78
2016-11-07,41.72
2016-11-08,45.25
2016-11-09,45.51
2016-11-10,41.79
2016-11-11,44.78
2016-11-12,39.63
2016-11-13,35.44
2016-11-14,38.89
2016-11-15,36.78
2016-11-16,32.26
2016-11-17,30.35
2016-11-18,29.71
2016-11-19,34.07
2016-11-20,31.68
2016-11-21,31.87
2016-11-22,36.61
2016-11-23,38.9
2016-11-24,39.11
2016-11-25,41.84
2016-11-26,34.0
2016-11-27,26.27
2016-11-28,33.92
2016-11-29,35.18
2016-11-30,33.7
2016-12-01,34.69
2016-12-02,33.74
2016-12-03,36.81
2016-12-04,28.42
2016-12-05,34.95
2016-12-06,37.54
2016-12-07,35.84
2016-12-08,30.06
2016-12-09,32.33
2016-12-10,29.62
2016-12-11,29.4
2016-12-12,39.48
2016-12-13,39.69
2016-12-14,42.51
2016-12-15,46.81
2016-12-16,45.29
2016-12-17,37.76
2016-12-18,33.48
2016-12-19,39.5
2016-12-20,57.36
2016-12-21,32.23
2016-12-22,39.03
2016-12-23,30.95
2016-12-24,22.75
2016-12-25,20.58
2016-12-26,19.6
2016-12-27,24.19
2016-12-28,30.91
2016-12-29,35.44
2016-12-30,31.98
2016-12-31,27.25
2017-01-01,24.24
2017-01-02,32.84
2017-01-03,32.5
2017-01-04,29.92
2017-01-05,39.0
2017-01-06,33.13
2017-01-07,31.21
2017-01-08,32.66
2017-01-09,38.43
2017-01-10,35.76
2017-01-11,29.49
2017-01-12,31.33
2017-01-13,37.39
2017-01-14,32.36
2017-01-15,33.59
2017-01-16,50.91
2017-01-17,49.56
2017-01-18,40.48
2017-01-19,39.46
2017-01-20,39.03
2017-01-21,38.97
2017-01-22,32.75
2017-01-23,39.92
2017-01-24,44.82
2017-01-25,49.19
2017-01-26,42.17
2017-01-27,40.23
2017-01-28,32.84
2017-01-29,31.01
2017-01-30,39.19
2017-01-31,39.21
2017-02-01,41.77
2017-02-02,41.25
2017-02-03,41.8
2017-02-04,34.36
2017-02-05,34.15
2017-02-06,40.02
2017-02-07,42.29
2017-02-08,43.45
2017-02-09,43.55
2017-02-10,37.37
2017-02-11,35.61
2017-02-12,31.83
2017-02-13,40.24
2017-02-14,41.2
2017-02-15,43.67
2017-02-16,37.3
2017-02-17,37.68
2017-02-18,37.69
2017-02-19,28.42
2017-02-20,31.31
2017-02-21,31.98
2017-02-22,29.61
2017-02-23,28.88
2017-02-24,31.09
2017-02-25,31.06
2017-02-26,25.27
2017-02-27,33.02
2017-02-28,31.43
2017-03-01,34.66
2017-03-02,30.93
2017-03-03,34.75
2017-03-04,31.69
2017-03-05,28.4
2017-03-06,37.88
2017-03-07,41.22
2017-03-08,36.63
2017-03-09,37.09
2017-03-10,37.03
2017-03-11,33.07
2017-03-12,32.71
2017-03-13,38.01
2017-03-14,35.53
2017-03-15,29.9
2017-03-16,34.45
2017-03-17,28.68
2017-03-18,26.42
2017-03-19,27.06
2017-03-20,33.55
2017-03-21,32.05
2017-03-22,40.43
2017-03-23,35.7
2017-03-24,38.49
2017-03-25,31.12
2017-03-26,29.8
2017-03-27,35.9
2017-03-28,36.31
2017-03-29,34.56
2017-03-30,36.21
2017-03-31,33.13
2017-04-01,33.2
