date,y_pred,lower,upper,country
2026-01-19,103.35922469123314,85.82997563816595,120.88847374430033,switzerland
2026-01-20,103.30085812989357,85.77160907682638,120.83010718296076,switzerland
2026-01-21,103.51336903115502,85.98411997808783,121.04261808422221,switzerland
2026-01-22,103.67157642248652,86.14232736941933,121.20082547555371,switzerland
2026-01-23,103.73659271728447,86.20734366421728,121.26584177035166,switzerland
2026-01-24,103.76449193432487,86.23524288125768,121.29374098739206,switzerland
2026-01-25,103.68181535182472,86.15256629875753,121.21106440489191,switzerland
2026-01-26,103.47157331659552,85.94232426352833,121.00082236966271,switzerland
2026-01-27,103.376667442184,85.84741838911681,120.90591649525119,switzerland
2026-01-28,103.39694806538574,85.86769901231855,120.92619711845293,switzerland
2026-01-29,103.44061221343416,85.91136316036697,120.96986126650135,switzerland
2026-01-30,103.4676951454103,85.93844609234311,120.9969441984775,switzerland
2026-01-31,103.47892721922413,85.94967816615694,121.00817627229132,switzerland
2026-01-01,36.269111585182515,13.582198060143277,58.95602511022175,france
2026-01-02,45.56847046606744,22.8815569410282,68.25538399110667,france
2026-01-03,49.23313331945865,26.546219794419414,71.92004684449789,france
2026-01-04,52.92217507395483,30.235261548915595,75.60908859899408,france
2026-01-05,55.83529044693403,33.148376921894794,78.52220397197327,france
2026-01-06,52.201449758703696,29.514536233664458,74.88836328374293,france
2026-01-07,45.3525614001681,22.66564787512886,68.03947492520734,france
2026-01-08,46.53675802810548,23.849844503066244,69.22367155314473,france
2026-01-09,48.543434276924735,25.856520751885498,71.23034780196397,france
2026-01-10,49.781249256953146,27.094335731913908,72.46816278199239,france
2026-01-11,51.79307079010642,29.106157265067182,74.47998431514566,france
2026-01-12,53.397494541529085,30.710581016489847,76.08440806656833,france
2026-01-13,51.434832514061156,28.74791898902192,74.1217460391004,france
2026-01-14,48.32575598766718,25.63884246262794,71.01266951270642,france
2026-01-15,47.814749486025406,25.127835960986168,70.50166301106464,france
2026-01-16,48.353168005351634,25.666254480312396,71.04008153039086,france
2026-01-17,49.03917894445421,26.35226541941497,71.72609246949344,france
2026-01-18,49.88388849821183,27.196974973172594,72.57080202325108,france
2026-01-19,50.69956641125576,28.01265288621652,73.38647993629499,france
2026-01-20,50.683469602963896,27.99655607792466,73.37038312800314,france
2026-01-21,49.88401322082004,27.1970996957808,72.57092674585928,france
2026-01-22,49.46627739251203,26.779363867472796,72.15319091755127,france
2026-01-23,49.45501460966881,26.76810108462957,72.14192813470805,france
2026-01-24,49.64056458418398,26.95365105914474,72.32747810922322,france
2026-01-25,49.99313785736136,27.306224332322124,72.68005138240059,france
2026-01-26,50.40083992952823,27.713926404488994,73.08775345456746,france
2026-01-27,50.51599646384837,27.82908293880913,73.2029099888876,france
2026-01-28,50.29927491759847,27.61236139255923,72.98618844263771,france
2026-01-29,50.102106513407435,27.415192988368197,72.78902003844667,france
2026-01-30,50.03595600018589,27.349042475146653,72.72286952522512,france
2026-01-31,50.079550543047816,27.39263701800858,72.76646406808706,france
2026-01-01,106.76526541136037,82.65231827012869,130.87821255259206,poland
2026-01-02,109.74324537072212,85.63029822949045,133.8561925119538,poland
2026-01-03,109.6949040827798,85.58195694154813,133.80785122401147,poland
2026-01-04,112.76379053384844,88.65084339261676,136.8767376750801,poland
2026-01-05,113.07765515118422,88.96470800995255,137.1906022924159,poland
2026-01-06,110.44249520228524,86.32954806105357,134.55544234351692,poland
2026-01-07,111.39607947227987,87.2831323310482,135.50902661351154,poland
2026-01-08,111.91461965269359,87.8016725114619,136.02756679392527,poland
2026-01-09,114.11130036277898,89.99835322154729,138.22424750401066,poland
2026-01-10,115.2136616243219,91.10071448309023,139.32660876555357,poland
2026-01-11,117.43596559933134,93.32301845809965,141.54891274056303,poland
2026-01-12,116.98540231178801,92.87245517055632,141.0983494530197,poland
2026-01-13,114.74041420315186,90.62746706192019,138.85336134438353,poland
2026-01-14,115.22122342582057,91.1082762845889,139.33417056705224,poland
2026-01-15,116.42575066376187,92.3128035225302,140.53869780499355,poland
2026-01-16,117.8066189556952,93.69367181446353,141.91956609692687,poland
2026-01-17,118.69148907289608,94.5785419316644,142.80443621412775,poland
2026-01-18,119.80126158789986,95.68831444666819,143.91420872913153,poland
2026-01-19,120.30207790712419,96.18913076589251,144.41502504835586,poland
2026-01-20,120.11122312120824,95.99827597997657,144.2241702624399,poland
2026-01-21,120.5430517103909,96.43010456915923,144.65599885162257,poland
2026-01-22,121.27793293757597,97.1649857963443,145.39088007880764,poland
2026-01-23,122.28851902632451,98.17557188509284,146.40146616755618,poland
2026-01-24,123.17325878987089,99.06031164863921,147.28620593110256,poland
2026-01-25,124.13332364214656,100.02037650091489,148.24627078337824,poland
2026-01-26,124.74101760765183,100.62807046642016,148.8539647488835,poland
2026-01-27,124.95929492470187,100.84634778347018,149.07224206593355,poland
2026-01-28,125.443302538311,101.33035539707933,149.55624967954267,poland
2026-01-29,126.1597384898239,102.04679134859222,150.27268563105557,poland
